"","histmean","X911","X1779","X1964","X2070","2556","0.81818","5209","5334","5532"
"1",1,1,1,1,1,1,1,1,1,1
"2",2,2,2,2,2,2,2,2,2,2
"3",1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1
"5",2,2,2,2,2,2,2,2,2,2
"6",1,1,1,1,1,1,1,1,1,1
"7",2,2,2,2,2,2,2,2,2,2
"8",1,1,1,1,1,1,1,1,1,1
"9",2,2,2,2,2,2,2,2,2,2
"10",1,1,1,1,1,1,1,1,1,1
"11",1,1,1,1,1,1,1,1,1,1
"12",1,1,1,1,1,1,1,1,1,1
"13",2,2,2,2,2,2,2,2,2,2
"14",1,1,1,1,1,1,1,1,1,1
"15",2,2,2,2,2,2,2,2,2,2
"16",2,2,2,2,2,2,2,2,2,2
"17",1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,1,1,1,1,1
"19",2,2,2,2,2,2,2,2,2,2
"20",2,2,2,2,2,2,2,2,2,2
"21",1,1,1,1,1,1,1,1,1,1
"22",1,1,1,1,1,1,1,1,1,1
"23",2,2,2,2,2,2,2,2,2,2
"24",1,1,1,1,1,1,1,1,1,1
"25",2,2,2,2,2,2,2,2,2,2
"26",1,1,1,1,1,1,1,1,1,1
"27",2,2,2,2,2,2,2,2,2,2
"28",1,1,1,1,1,1,1,1,1,1
"29",1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1
"31",1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,1,1,1,1,1,1
"34",1,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,1
"36",1,1,1,1,1,1,1,1,1,1
"37",1,1,1,1,1,1,1,1,1,1
"38",1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1
"40",1,1,1,1,1,1,1,1,1,1
"41",1,1,1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,1,1
"43",1,1,1,1,1,1,1,1,1,1
"44",2,2,2,2,2,2,2,2,2,2
"45",2,2,2,2,2,2,2,2,2,2
"46",1,1,1,1,1,1,1,1,1,1
"47",1,1,1,1,1,1,1,1,1,1
"48",1,1,1,1,1,1,1,1,1,1
"49",2,2,2,2,2,2,2,2,2,2
"50",2,2,2,2,2,2,2,2,2,2
"51",1,1,1,1,1,1,1,1,1,1
"52",1,1,1,1,1,1,1,1,1,1
"53",2,2,2,2,2,2,2,2,2,2
"54",2,2,2,2,2,2,2,2,2,2
"55",1,1,1,1,1,1,1,1,1,1
"56",1,1,1,1,1,1,1,1,1,1
"57",1,1,1,1,1,1,1,1,1,1
"58",1,1,1,1,1,1,1,1,1,1
"59",1,1,1,1,1,1,1,1,1,1
"60",2,2,2,2,2,2,2,2,2,2
"61",1,1,1,1,1,1,1,1,1,1
"62",1,1,1,1,1,1,1,1,1,1
"63",1,1,1,1,1,1,1,1,1,1
"64",2,2,2,2,2,2,2,2,2,2
"65",2,2,2,2,2,2,2,2,2,2
"66",2,2,2,2,2,2,2,2,2,2
"67",2,2,2,2,2,2,2,2,2,2
"68",1,1,1,1,1,1,1,1,1,1
"69",1,1,1,1,1,1,1,1,1,1
"70",2,2,2,2,2,2,2,2,2,2
"71",2,2,2,2,2,2,2,2,2,2
"72",1,1,1,1,1,1,1,1,1,1
"73",1.33333333333333,1,1,1,2,1,1,2,2,1
"74",1,1,1,1,1,1,1,1,1,1
"75",2,2,2,2,2,2,2,2,2,2
"76",1,1,1,1,1,1,1,1,1,1
"77",1,1,1,1,1,1,1,1,1,1
"78",2,2,2,2,2,2,2,2,2,2
"79",1,1,1,1,1,1,1,1,1,1
"80",2,2,2,2,2,2,2,2,2,2
"81",1.77777777777778,2,2,2,2,1,2,2,2,1
"82",1,1,1,1,1,1,1,1,1,1
"83",1,1,1,1,1,1,1,1,1,1
"84",1,1,1,1,1,1,1,1,1,1
"85",1,1,1,1,1,1,1,1,1,1
"86",1,1,1,1,1,1,1,1,1,1
"87",2,2,2,2,2,2,2,2,2,2
"88",1,1,1,1,1,1,1,1,1,1
"89",1,1,1,1,1,1,1,1,1,1
"90",2,2,2,2,2,2,2,2,2,2
"91",2,2,2,2,2,2,2,2,2,2
"92",1,1,1,1,1,1,1,1,1,1
"93",2,2,2,2,2,2,2,2,2,2
"94",1,1,1,1,1,1,1,1,1,1
"95",1,1,1,1,1,1,1,1,1,1
"96",1,1,1,1,1,1,1,1,1,1
"97",2,2,2,2,2,2,2,2,2,2
"98",1,1,1,1,1,1,1,1,1,1
"99",2,2,2,2,2,2,2,2,2,2
"100",1,1,1,1,1,1,1,1,1,1
"101",2,2,2,2,2,2,2,2,2,2
"102",1,1,1,1,1,1,1,1,1,1
"103",1,1,1,1,1,1,1,1,1,1
"104",1,1,1,1,1,1,1,1,1,1
"105",2,2,2,2,2,2,2,2,2,2
"106",1,1,1,1,1,1,1,1,1,1
"107",1,1,1,1,1,1,1,1,1,1
"108",1,1,1,1,1,1,1,1,1,1
"109",1,1,1,1,1,1,1,1,1,1
"110",1,1,1,1,1,1,1,1,1,1
"111",1,1,1,1,1,1,1,1,1,1
"112",2,2,2,2,2,2,2,2,2,2
"113",2,2,2,2,2,2,2,2,2,2
"114",2,2,2,2,2,2,2,2,2,2
"115",2,2,2,2,2,2,2,2,2,2
"116",1,1,1,1,1,1,1,1,1,1
"117",1,1,1,1,1,1,1,1,1,1
"118",2,2,2,2,2,2,2,2,2,2
"119",1,1,1,1,1,1,1,1,1,1
"120",2,2,2,2,2,2,2,2,2,2
"121",2,2,2,2,2,2,2,2,2,2
"122",1,1,1,1,1,1,1,1,1,1
"123",2,2,2,2,2,2,2,2,2,2
"124",1,1,1,1,1,1,1,1,1,1
"125",1,1,1,1,1,1,1,1,1,1
"126",2,2,2,2,2,2,2,2,2,2
"127",1,1,1,1,1,1,1,1,1,1
"128",2,2,2,2,2,2,2,2,2,2
"129",1,1,1,1,1,1,1,1,1,1
"130",1,1,1,1,1,1,1,1,1,1
"131",1,1,1,1,1,1,1,1,1,1
"132",1.33333333333333,1,1,1,2,1,2,1,1,2
"133",1,1,1,1,1,1,1,1,1,1
"134",1,1,1,1,1,1,1,1,1,1
"135",1,1,1,1,1,1,1,1,1,1
"136",1,1,1,1,1,1,1,1,1,1
"137",1,1,1,1,1,1,1,1,1,1
"138",1,1,1,1,1,1,1,1,1,1
"139",1,1,1,1,1,1,1,1,1,1
"140",1,1,1,1,1,1,1,1,1,1
"141",1,1,1,1,1,1,1,1,1,1
"142",2,2,2,2,2,2,2,2,2,2
"143",1,1,1,1,1,1,1,1,1,1
"144",1,1,1,1,1,1,1,1,1,1
"145",1,1,1,1,1,1,1,1,1,1
"146",1,1,1,1,1,1,1,1,1,1
"147",1,1,1,1,1,1,1,1,1,1
"148",1,1,1,1,1,1,1,1,1,1
"149",1,1,1,1,1,1,1,1,1,1
"150",1,1,1,1,1,1,1,1,1,1
"151",2,2,2,2,2,2,2,2,2,2
"152",1,1,1,1,1,1,1,1,1,1
"153",1,1,1,1,1,1,1,1,1,1
"154",1,1,1,1,1,1,1,1,1,1
"155",1,1,1,1,1,1,1,1,1,1
"156",1,1,1,1,1,1,1,1,1,1
"157",2,2,2,2,2,2,2,2,2,2
"158",2,2,2,2,2,2,2,2,2,2
"159",1,1,1,1,1,1,1,1,1,1
"160",1,1,1,1,1,1,1,1,1,1
"161",2,2,2,2,2,2,2,2,2,2
"162",2,2,2,2,2,2,2,2,2,2
"163",2,2,2,2,2,2,2,2,2,2
"164",1,1,1,1,1,1,1,1,1,1
"165",1,1,1,1,1,1,1,1,1,1
"166",2,2,2,2,2,2,2,2,2,2
"167",1,1,1,1,1,1,1,1,1,1
"168",1,1,1,1,1,1,1,1,1,1
"169",2,2,2,2,2,2,2,2,2,2
"170",1,1,1,1,1,1,1,1,1,1
"171",1,1,1,1,1,1,1,1,1,1
"172",1,1,1,1,1,1,1,1,1,1
"173",1,1,1,1,1,1,1,1,1,1
"174",1,1,1,1,1,1,1,1,1,1
"175",1,1,1,1,1,1,1,1,1,1
"176",2,2,2,2,2,2,2,2,2,2
"177",2,2,2,2,2,2,2,2,2,2
"178",1,1,1,1,1,1,1,1,1,1
"179",2,2,2,2,2,2,2,2,2,2
"180",2,2,2,2,2,2,2,2,2,2
"181",1,1,1,1,1,1,1,1,1,1
"182",1,1,1,1,1,1,1,1,1,1
"183",2,2,2,2,2,2,2,2,2,2
"184",1,1,1,1,1,1,1,1,1,1
"185",2,2,2,2,2,2,2,2,2,2
"186",1,1,1,1,1,1,1,1,1,1
"187",2,2,2,2,2,2,2,2,2,2
"188",1,1,1,1,1,1,1,1,1,1
"189",1,1,1,1,1,1,1,1,1,1
"190",1,1,1,1,1,1,1,1,1,1
"191",1,1,1,1,1,1,1,1,1,1
"192",1,1,1,1,1,1,1,1,1,1
"193",1,1,1,1,1,1,1,1,1,1
"194",1,1,1,1,1,1,1,1,1,1
"195",2,2,2,2,2,2,2,2,2,2
"196",1,1,1,1,1,1,1,1,1,1
"197",2,2,2,2,2,2,2,2,2,2
"198",2,2,2,2,2,2,2,2,2,2
"199",1,1,1,1,1,1,1,1,1,1
"200",1,1,1,1,1,1,1,1,1,1
"201",2,2,2,2,2,2,2,2,2,2
"202",1,1,1,1,1,1,1,1,1,1
"203",2,2,2,2,2,2,2,2,2,2
"204",2,2,2,2,2,2,2,2,2,2
"205",1,1,1,1,1,1,1,1,1,1
"206",1,1,1,1,1,1,1,1,1,1
"207",2,2,2,2,2,2,2,2,2,2
"208",1,1,1,1,1,1,1,1,1,1
"209",2,2,2,2,2,2,2,2,2,2
"210",1,1,1,1,1,1,1,1,1,1
"211",1,1,1,1,1,1,1,1,1,1
"212",1,1,1,1,1,1,1,1,1,1
"213",1,1,1,1,1,1,1,1,1,1
"214",2,2,2,2,2,2,2,2,2,2
"215",1,1,1,1,1,1,1,1,1,1
"216",1,1,1,1,1,1,1,1,1,1
"217",2,2,2,2,2,2,2,2,2,2
"218",1,1,1,1,1,1,1,1,1,1
"219",2,2,2,2,2,2,2,2,2,2
"220",1,1,1,1,1,1,1,1,1,1
"221",2,2,2,2,2,2,2,2,2,2
"222",1,1,1,1,1,1,1,1,1,1
"223",2,2,2,2,2,2,2,2,2,2
"224",1,1,1,1,1,1,1,1,1,1
"225",2,2,2,2,2,2,2,2,2,2
"226",2,2,2,2,2,2,2,2,2,2
"227",1,1,1,1,1,1,1,1,1,1
"228",2,2,2,2,2,2,2,2,2,2
"229",1,1,1,1,1,1,1,1,1,1
"230",1,1,1,1,1,1,1,1,1,1
"231",1,1,1,1,1,1,1,1,1,1
"232",2,2,2,2,2,2,2,2,2,2
"233",1,1,1,1,1,1,1,1,1,1
"234",1,1,1,1,1,1,1,1,1,1
"235",1,1,1,1,1,1,1,1,1,1
"236",1,1,1,1,1,1,1,1,1,1
"237",1,1,1,1,1,1,1,1,1,1
"238",1,1,1,1,1,1,1,1,1,1
"239",2,2,2,2,2,2,2,2,2,2
"240",2,2,2,2,2,2,2,2,2,2
"241",2,2,2,2,2,2,2,2,2,2
"242",2,2,2,2,2,2,2,2,2,2
"243",1,1,1,1,1,1,1,1,1,1
"244",1,1,1,1,1,1,1,1,1,1
"245",1,1,1,1,1,1,1,1,1,1
"246",1,1,1,1,1,1,1,1,1,1
"247",2,2,2,2,2,2,2,2,2,2
"248",1,1,1,1,1,1,1,1,1,1
"249",2,2,2,2,2,2,2,2,2,2
"250",2,2,2,2,2,2,2,2,2,2
"251",2,2,2,2,2,2,2,2,2,2
"252",1,1,1,1,1,1,1,1,1,1
"253",1,1,1,1,1,1,1,1,1,1
"254",1,1,1,1,1,1,1,1,1,1
"255",1,1,1,1,1,1,1,1,1,1
"256",1,1,1,1,1,1,1,1,1,1
"257",1,1,1,1,1,1,1,1,1,1
"258",1,1,1,1,1,1,1,1,1,1
"259",2,2,2,2,2,2,2,2,2,2
"260",1,1,1,1,1,1,1,1,1,1
"261",1,1,1,1,1,1,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1
"263",2,2,2,2,2,2,2,2,2,2
"264",2,2,2,2,2,2,2,2,2,2
"265",1,1,1,1,1,1,1,1,1,1
"266",1,1,1,1,1,1,1,1,1,1
"267",1,1,1,1,1,1,1,1,1,1
"268",1,1,1,1,1,1,1,1,1,1
"269",1,1,1,1,1,1,1,1,1,1
"270",1,1,1,1,1,1,1,1,1,1
"271",1,1,1,1,1,1,1,1,1,1
"272",1,1,1,1,1,1,1,1,1,1
"273",2,2,2,2,2,2,2,2,2,2
"274",2,2,2,2,2,2,2,2,2,2
"275",1,1,1,1,1,1,1,1,1,1
"276",2,2,2,2,2,2,2,2,2,2
"277",1,1,1,1,1,1,1,1,1,1
"278",1,1,1,1,1,1,1,1,1,1
"279",1,1,1,1,1,1,1,1,1,1
"280",1,1,1,1,1,1,1,1,1,1
"281",1,1,1,1,1,1,1,1,1,1
"282",2,2,2,2,2,2,2,2,2,2
"283",2,2,2,2,2,2,2,2,2,2
"284",2,2,2,2,2,2,2,2,2,2
"285",1,1,1,1,1,1,1,1,1,1
"286",1,1,1,1,1,1,1,1,1,1
"287",1,1,1,1,1,1,1,1,1,1
"288",1,1,1,1,1,1,1,1,1,1
"289",1,1,1,1,1,1,1,1,1,1
"290",1,1,1,1,1,1,1,1,1,1
"291",1,1,1,1,1,1,1,1,1,1
"292",2,2,2,2,2,2,2,2,2,2
"293",1,1,1,1,1,1,1,1,1,1
"294",1,1,1,1,1,1,1,1,1,1
"295",1,1,1,1,1,1,1,1,1,1
"296",1,1,1,1,1,1,1,1,1,1
"297",2,2,2,2,2,2,2,2,2,2
"298",1,1,1,1,1,1,1,1,1,1
"299",1,1,1,1,1,1,1,1,1,1
"300",1,1,1,1,1,1,1,1,1,1
"301",1,1,1,1,1,1,1,1,1,1
"302",1,1,1,1,1,1,1,1,1,1
"303",1,1,1,1,1,1,1,1,1,1
"304",1,1,1,1,1,1,1,1,1,1
"305",2,2,2,2,2,2,2,2,2,2
"306",2,2,2,2,2,2,2,2,2,2
"307",1,1,1,1,1,1,1,1,1,1
"308",2,2,2,2,2,2,2,2,2,2
"309",1,1,1,1,1,1,1,1,1,1
"310",2,2,2,2,2,2,2,2,2,2
"311",1,1,1,1,1,1,1,1,1,1
"312",1,1,1,1,1,1,1,1,1,1
"313",1,1,1,1,1,1,1,1,1,1
"314",2,2,2,2,2,2,2,2,2,2
"315",2,2,2,2,2,2,2,2,2,2
"316",2,2,2,2,2,2,2,2,2,2
"317",1,1,1,1,1,1,1,1,1,1
"318",1,1,1,1,1,1,1,1,1,1
"319",1,1,1,1,1,1,1,1,1,1
"320",1,1,1,1,1,1,1,1,1,1
"321",1,1,1,1,1,1,1,1,1,1
"322",1,1,1,1,1,1,1,1,1,1
"323",1,1,1,1,1,1,1,1,1,1
"324",1,1,1,1,1,1,1,1,1,1
"325",2,2,2,2,2,2,2,2,2,2
"326",1,1,1,1,1,1,1,1,1,1
"327",2,2,2,2,2,2,2,2,2,2
"328",1,1,1,1,1,1,1,1,1,1
"329",1,1,1,1,1,1,1,1,1,1
"330",1,1,1,1,1,1,1,1,1,1
"331",2,2,2,2,2,2,2,2,2,2
"332",1,1,1,1,1,1,1,1,1,1
"333",1,1,1,1,1,1,1,1,1,1
"334",2,2,2,2,2,2,2,2,2,2
"335",1,1,1,1,1,1,1,1,1,1
"336",1,1,1,1,1,1,1,1,1,1
"337",1,1,1,1,1,1,1,1,1,1
"338",1,1,1,1,1,1,1,1,1,1
"339",1,1,1,1,1,1,1,1,1,1
"340",1,1,1,1,1,1,1,1,1,1
"341",1,1,1,1,1,1,1,1,1,1
"342",1,1,1,1,1,1,1,1,1,1
"343",1,1,1,1,1,1,1,1,1,1
"344",2,2,2,2,2,2,2,2,2,2
"345",1,1,1,1,1,1,1,1,1,1
"346",2,2,2,2,2,2,2,2,2,2
"347",1,1,1,1,1,1,1,1,1,1
"348",2,2,2,2,2,2,2,2,2,2
"349",1,1,1,1,1,1,1,1,1,1
"350",2,2,2,2,2,2,2,2,2,2
"351",2,2,2,2,2,2,2,2,2,2
"352",1,1,1,1,1,1,1,1,1,1
"353",1,1,1,1,1,1,1,1,1,1
"354",1,1,1,1,1,1,1,1,1,1
"355",2,2,2,2,2,2,2,2,2,2
"356",1,1,1,1,1,1,1,1,1,1
"357",2,2,2,2,2,2,2,2,2,2
"358",1,1,1,1,1,1,1,1,1,1
"359",1,1,1,1,1,1,1,1,1,1
"360",2,2,2,2,2,2,2,2,2,2
"361",1,1,1,1,1,1,1,1,1,1
"362",2,2,2,2,2,2,2,2,2,2
"363",2,2,2,2,2,2,2,2,2,2
"364",1,1,1,1,1,1,1,1,1,1
"365",2,2,2,2,2,2,2,2,2,2
"366",1,1,1,1,1,1,1,1,1,1
"367",1,1,1,1,1,1,1,1,1,1
"368",2,2,2,2,2,2,2,2,2,2
"369",2,2,2,2,2,2,2,2,2,2
"370",1,1,1,1,1,1,1,1,1,1
"371",1,1,1,1,1,1,1,1,1,1
"372",2,2,2,2,2,2,2,2,2,2
"373",1,1,1,1,1,1,1,1,1,1
"374",1,1,1,1,1,1,1,1,1,1
"375",2,2,2,2,2,2,2,2,2,2
"376",2,2,2,2,2,2,2,2,2,2
"377",1,1,1,1,1,1,1,1,1,1
"378",1,1,1,1,1,1,1,1,1,1
"379",1,1,1,1,1,1,1,1,1,1
"380",1,1,1,1,1,1,1,1,1,1
"381",1,1,1,1,1,1,1,1,1,1
"382",1,1,1,1,1,1,1,1,1,1
"383",2,2,2,2,2,2,2,2,2,2
"384",1,1,1,1,1,1,1,1,1,1
"385",1,1,1,1,1,1,1,1,1,1
"386",2,2,2,2,2,2,2,2,2,2
"387",1,1,1,1,1,1,1,1,1,1
"388",1,1,1,1,1,1,1,1,1,1
"389",1,1,1,1,1,1,1,1,1,1
"390",1,1,1,1,1,1,1,1,1,1
"391",1,1,1,1,1,1,1,1,1,1
"392",2,2,2,2,2,2,2,2,2,2
"393",1,1,1,1,1,1,1,1,1,1
"394",1,1,1,1,1,1,1,1,1,1
"395",1,1,1,1,1,1,1,1,1,1
"396",2,2,2,2,2,2,2,2,2,2
"397",1,1,1,1,1,1,1,1,1,1
"398",2,2,2,2,2,2,2,2,2,2
"399",1,1,1,1,1,1,1,1,1,1
"400",1,1,1,1,1,1,1,1,1,1
"401",2,2,2,2,2,2,2,2,2,2
"402",1,1,1,1,1,1,1,1,1,1
"403",2,2,2,2,2,2,2,2,2,2
"404",1,1,1,1,1,1,1,1,1,1
"405",1,1,1,1,1,1,1,1,1,1
"406",1,1,1,1,1,1,1,1,1,1
"407",1,1,1,1,1,1,1,1,1,1
"408",1,1,1,1,1,1,1,1,1,1
"409",2,2,2,2,2,2,2,2,2,2
"410",2,2,2,2,2,2,2,2,2,2
"411",2,2,2,2,2,2,2,2,2,2
"412",2,2,2,2,2,2,2,2,2,2
"413",2,2,2,2,2,2,2,2,2,2
"414",1,1,1,1,1,1,1,1,1,1
"415",2,2,2,2,2,2,2,2,2,2
"416",1,1,1,1,1,1,1,1,1,1
"417",1,1,1,1,1,1,1,1,1,1
"418",2,2,2,2,2,2,2,2,2,2
